Payer,Service,Age Group,Gender,2002,2004,2006,2008,2010,2012
Other Payers and Programs,Dental Services,Total,Total,1272,1473,1749,2190,2815,3101
Other Payers and Programs,Dental Services,0-18,Total,573,645,781,985,1315,1675
Other Payers and Programs,Dental Services,19-44,Total,318,352,391,456,594,564
Other Payers and Programs,Dental Services,45-64,Total,277,344,399,521,609,542
Other Payers and Programs,Dental Services,65-84,Total,98,122,165,210,275,291
Other Payers and Programs,Dental Services,85+,Total,6,9,13,18,21,30
Other Payers and Programs,Dental Services,Total,Males,558,666,783,962,1234,1395
Other Payers and Programs,Dental Services,0-18,Males,271,316,368,475,613,806
Other Payers and Programs,Dental Services,19-44,Males,117,143,153,165,208,199
Other Payers and Programs,Dental Services,45-64,Males,122,146,181,223,271,250
Other Payers and Programs,Dental Services,65-84,Males,47,58,77,93,135,130
Other Payers and Programs,Dental Services,85+,Males,2,3,4,6,7,9
Other Payers and Programs,Dental Services,Total,Females,714,807,966,1228,1581,1707
Other Payers and Programs,Dental Services,0-18,Females,302,329,413,510,703,869
Other Payers and Programs,Dental Services,19-44,Females,201,209,238,291,386,365
Other Payers and Programs,Dental Services,45-64,Females,155,198,218,298,338,292
Other Payers and Programs,Dental Services,65-84,Females,51,65,88,117,140,161
Other Payers and Programs,Dental Services,85+,Females,5,6,9,12,14,20
Out-of-Pocket,Dental Services,Total,Total,31957,35609,39640,44676,43402,45179
Out-of-Pocket,Dental Services,0-18,Total,7432,8341,9405,10307,9714,9639
Out-of-Pocket,Dental Services,19-44,Total,7948,8359,8799,9551,8495,8676
Out-of-Pocket,Dental Services,45-64,Total,10327,11372,12430,14111,13775,13408
Out-of-Pocket,Dental Services,65-84,Total,5671,6776,8023,9443,10137,11996
Out-of-Pocket,Dental Services,85+,Total,579,760,984,1265,1281,1460
Out-of-Pocket,Dental Services,Total,Males,14010,15595,17373,19284,18718,19712
Out-of-Pocket,Dental Services,0-18,Males,3293,3657,3992,4454,4138,4095
Out-of-Pocket,Dental Services,19-44,Males,3272,3514,3744,4039,3618,3518
Out-of-Pocket,Dental Services,45-64,Males,4594,4993,5504,6038,5802,5691
Out-of-Pocket,Dental Services,65-84,Males,2644,3153,3771,4266,4669,5818
Out-of-Pocket,Dental Services,85+,Males,207,279,361,487,491,589
Out-of-Pocket,Dental Services,Total,Females,17947,20014,22267,25392,24684,25467
Out-of-Pocket,Dental Services,0-18,Females,4139,4683,5413,5853,5576,5544
Out-of-Pocket,Dental Services,19-44,Females,4676,4846,5054,5512,4878,5158
Out-of-Pocket,Dental Services,45-64,Females,5733,6380,6925,8072,7973,7716
Out-of-Pocket,Dental Services,65-84,Females,3028,3624,4252,5177,5468,6178
Out-of-Pocket,Dental Services,85+,Females,372,481,623,777,790,870
Private health Insurance,Dental Services,Total,Total,36428,40333,44871,48624,50174,51595
Private health Insurance,Dental Services,0-18,Total,8913,11118,12662,13174,12552,13259
Private health Insurance,Dental Services,19-44,Total,11632,12441,13024,13572,13494,12884
Private health Insurance,Dental Services,45-64,Total,12637,13082,14996,17167,18642,18939
Private health Insurance,Dental Services,65-84,Total,3046,3464,3893,4340,5019,5961
Private health Insurance,Dental Services,85+,Total,200,228,297,372,467,553
Private health Insurance,Dental Services,Total,Males,16248,17825,19655,21634,21885,22794
Private health Insurance,Dental Services,0-18,Males,4202,5501,6091,6472,5879,6164
Private health Insurance,Dental Services,19-44,Males,5013,5249,5209,5454,5590,5523
Private health Insurance,Dental Services,45-64,Males,5554,5469,6562,7605,8026,8246
Private health Insurance,Dental Services,65-84,Males,1417,1534,1690,1960,2213,2647
Private health Insurance,Dental Services,85+,Males,63,73,101,143,176,213
Private health Insurance,Dental Services,Total,Females,20179,22508,25217,26990,28289,28801
Private health Insurance,Dental Services,0-18,Females,4711,5618,6570,6702,6673,7095
Private health Insurance,Dental Services,19-44,Females,6619,7192,7815,8118,7904,7361
Private health Insurance,Dental Services,45-64,Females,7084,7613,8434,9563,10616,10693
Private health Insurance,Dental Services,65-84,Females,1629,1930,2202,2379,2805,3314
Private health Insurance,Dental Services,85+,Females,137,155,196,229,291,339
Total,Dental Services,Total,Total,73444,81749,91146,101939,105032,108855
Total,Dental Services,0-18,Total,19003,22695,25780,28191,28598,29631
Total,Dental Services,19-44,Total,20834,22136,23290,24984,24518,24094
Total,Dental Services,45-64,Total,23678,25242,28348,32551,34026,34018
Total,Dental Services,65-84,Total,9085,10619,12366,14445,15966,18886
Total,Dental Services,85+,Total,845,1056,1361,1768,1924,2225
Total,Dental Services,Total,Males,32415,35941,39896,44654,45588,47832
Total,Dental Services,0-18,Males,8799,10759,11905,13260,13134,13596
Total,Dental Services,19-44,Males,8678,9187,9401,10053,9989,9847
Total,Dental Services,45-64,Males,10448,10790,12463,14183,14531,14684
Total,Dental Services,65-84,Males,4206,4837,5645,6493,7223,8846
Total,Dental Services,85+,Males,285,368,482,664,711,859
Total,Dental Services,Total,Females,41029,45808,51250,57285,59443,61023
Total,Dental Services,0-18,Females,10204,11936,13875,14931,15464,16035
Total,Dental Services,19-44,Females,12156,12950,13889,14930,14528,14248
Total,Dental Services,45-64,Females,13230,14453,15885,18369,19495,19334
Total,Dental Services,65-84,Females,4879,5782,6721,7952,8743,10039
Total,Dental Services,85+,Females,559,688,879,1104,1213,1367
Medicaid,Durable Medical Equipment,Total,Total,2709,2896,3761,4202,4921,5110
Medicaid,Durable Medical Equipment,0-18,Total,769,813,1139,1241,1376,1630
Medicaid,Durable Medical Equipment,19-44,Total,684,750,960,1048,1300,1293
Medicaid,Durable Medical Equipment,45-64,Total,645,751,1001,1124,1379,1313
Medicaid,Durable Medical Equipment,65-84,Total,453,432,498,593,663,654
Medicaid,Durable Medical Equipment,85+,Total,157,149,163,196,203,220
Medicaid,Durable Medical Equipment,Total,Males,1120,1205,1591,1752,2235,2177
Medicaid,Durable Medical Equipment,0-18,Males,422,445,636,676,753,892
Medicaid,Durable Medical Equipment,19-44,Males,288,315,380,401,592,491
Medicaid,Durable Medical Equipment,45-64,Males,255,295,398,459,637,550
Medicaid,Durable Medical Equipment,65-84,Males,128,124,148,180,215,201
Medicaid,Durable Medical Equipment,85+,Males,27,26,29,37,38,42
Medicaid,Durable Medical Equipment,Total,Females,1588,1691,2170,2450,2686,2934
Medicaid,Durable Medical Equipment,0-18,Females,347,369,503,566,624,738
Medicaid,Durable Medical Equipment,19-44,Females,396,435,580,647,708,802
Medicaid,Durable Medical Equipment,45-64,Females,390,456,604,665,742,763
Medicaid,Durable Medical Equipment,65-84,Females,325,308,350,413,448,453
Medicaid,Durable Medical Equipment,85+,Females,131,123,134,159,165,178
Medicare,Durable Medical Equipment,Total,Total,5273,6230,6885,7891,7502,8071
Medicare,Durable Medical Equipment,0-18,Total,1,1,1,1,1,1
Medicare,Durable Medical Equipment,19-44,Total,223,260,292,305,302,314
Medicare,Durable Medical Equipment,45-64,Total,820,1041,1228,1392,1395,1499
Medicare,Durable Medical Equipment,65-84,Total,3522,4098,4451,5122,4777,5176
Medicare,Durable Medical Equipment,85+,Total,708,829,914,1071,1027,1081
Medicare,Durable Medical Equipment,Total,Males,2289,2720,3052,3526,3397,3671
Medicare,Durable Medical Equipment,0-18,Males,0,1,1,1,1,0
Medicare,Durable Medical Equipment,19-44,Males,135,151,168,170,169,173
Medicare,Durable Medical Equipment,45-64,Males,417,520,610,684,690,741
Medicare,Durable Medical Equipment,65-84,Males,1508,1775,1966,2298,2175,2371
Medicare,Durable Medical Equipment,85+,Males,228,274,308,373,362,386
Medicare,Durable Medical Equipment,Total,Females,2985,3509,3834,4365,4106,4399
Medicare,Durable Medical Equipment,0-18,Females,0,1,1,0,0,0
Medicare,Durable Medical Equipment,19-44,Females,87,109,124,135,133,141
Medicare,Durable Medical Equipment,45-64,Females,403,521,618,708,705,758
Medicare,Durable Medical Equipment,65-84,Females,2014,2323,2485,2824,2602,2805
Medicare,Durable Medical Equipment,85+,Females,480,556,607,698,665,695
Other Payers and Programs,Durable Medical Equipment,Total,Total,600,596,581,641,666,734
Other Payers and Programs,Durable Medical Equipment,0-18,Total,112,99,104,128,131,169
Other Payers and Programs,Durable Medical Equipment,19-44,Total,151,149,134,138,146,161
Other Payers and Programs,Durable Medical Equipment,45-64,Total,192,197,198,211,214,217
Other Payers and Programs,Durable Medical Equipment,65-84,Total,113,116,107,124,135,139
Other Payers and Programs,Durable Medical Equipment,85+,Total,32,35,38,40,40,48
Other Payers and Programs,Durable Medical Equipment,Total,Males,264,262,258,286,298,329
Other Payers and Programs,Durable Medical Equipment,0-18,Males,57,50,50,62,64,82
Other Payers and Programs,Durable Medical Equipment,19-44,Males,57,55,55,55,59,69
Other Payers and Programs,Durable Medical Equipment,45-64,Males,86,90,92,95,97,90
Other Payers and Programs,Durable Medical Equipment,65-84,Males,53,54,48,58,61,65
Other Payers and Programs,Durable Medical Equipment,85+,Males,12,13,14,16,17,22
Other Payers and Programs,Durable Medical Equipment,Total,Females,336,333,322,355,368,405
Other Payers and Programs,Durable Medical Equipment,0-18,Females,55,49,54,66,68,87
Other Payers and Programs,Durable Medical Equipment,19-44,Females,94,94,79,82,87,92
Other Payers and Programs,Durable Medical Equipment,45-64,Females,106,107,106,116,116,127
Other Payers and Programs,Durable Medical Equipment,65-84,Females,60,62,59,67,74,74
Other Payers and Programs,Durable Medical Equipment,85+,Females,21,21,24,24,23,26
Out-of-Pocket,Durable Medical Equipment,Total,Total,14638,15936,17488,18383,19814,22209
Out-of-Pocket,Durable Medical Equipment,0-18,Total,1223,1352,1494,1566,1596,1812
Out-of-Pocket,Durable Medical Equipment,19-44,Total,3730,3937,4123,4277,4737,5047
Out-of-Pocket,Durable Medical Equipment,45-64,Total,5441,5929,6753,6914,7542,8179
Out-of-Pocket,Durable Medical Equipment,65-84,Total,3443,3596,3861,4422,4626,5401
Out-of-Pocket,Durable Medical Equipment,85+,Total,801,1122,1256,1203,1312,1771
Out-of-Pocket,Durable Medical Equipment,Total,Males,6017,6387,7062,7589,8205,9426
Out-of-Pocket,Durable Medical Equipment,0-18,Males,562,604,645,687,668,829
Out-of-Pocket,Durable Medical Equipment,19-44,Males,1435,1548,1671,1692,1868,2092
Out-of-Pocket,Durable Medical Equipment,45-64,Males,2205,2338,2715,2732,3087,3290
Out-of-Pocket,Durable Medical Equipment,65-84,Males,1558,1559,1625,2044,2084,2471
Out-of-Pocket,Durable Medical Equipment,85+,Males,256,337,405,435,499,744
Out-of-Pocket,Durable Medical Equipment,Total,Females,8621,9549,10426,10793,11608,12783
Out-of-Pocket,Durable Medical Equipment,0-18,Females,661,748,849,880,928,984
Out-of-Pocket,Durable Medical Equipment,19-44,Females,2295,2389,2452,2586,2869,2954
Out-of-Pocket,Durable Medical Equipment,45-64,Females,3236,3590,4038,4181,4455,4888
Out-of-Pocket,Durable Medical Equipment,65-84,Females,1885,2037,2236,2379,2542,2930
Out-of-Pocket,Durable Medical Equipment,85+,Females,545,785,851,768,814,1026
Private health Insurance,Durable Medical Equipment,Total,Total,3911,4713,5694,6561,7022,7555
Private health Insurance,Durable Medical Equipment,0-18,Total,365,408,386,501,701,829
Private health Insurance,Durable Medical Equipment,19-44,Total,1197,1345,1251,1693,1955,1994
Private health Insurance,Durable Medical Equipment,45-64,Total,1409,1816,2438,2734,2793,2790
Private health Insurance,Durable Medical Equipment,65-84,Total,720,846,1327,1304,1261,1551
Private health Insurance,Durable Medical Equipment,85+,Total,220,299,293,329,312,391
Private health Insurance,Durable Medical Equipment,Total,Males,1592,1895,2705,2934,3010,3299
Private health Insurance,Durable Medical Equipment,0-18,Males,157,161,174,288,291,362
Private health Insurance,Durable Medical Equipment,19-44,Males,461,515,637,671,806,849
Private health Insurance,Durable Medical Equipment,45-64,Males,594,799,1085,1209,1232,1213
Private health Insurance,Durable Medical Equipment,65-84,Males,305,318,701,649,584,757
Private health Insurance,Durable Medical Equipment,85+,Males,75,102,108,118,96,118
Private health Insurance,Durable Medical Equipment,Total,Females,2319,2818,2990,3627,4012,4256
Private health Insurance,Durable Medical Equipment,0-18,Females,208,247,212,214,409,467
Private health Insurance,Durable Medical Equipment,19-44,Females,735,830,614,1022,1148,1145
Private health Insurance,Durable Medical Equipment,45-64,Females,815,1017,1353,1524,1561,1577
Private health Insurance,Durable Medical Equipment,65-84,Females,415,528,625,656,677,794
Private health Insurance,Durable Medical Equipment,85+,Females,145,197,185,211,216,273
Total,Durable Medical Equipment,Total,Total,27131,30370,34409,37678,39925,43679
Total,Durable Medical Equipment,0-18,Total,2470,2673,3124,3438,3806,4441
Total,Durable Medical Equipment,19-44,Total,5984,6441,6759,7461,8440,8808
Total,Durable Medical Equipment,45-64,Total,8507,9733,11618,12375,13322,13997
Total,Durable Medical Equipment,65-84,Total,8251,9090,10244,11566,11462,12921
Total,Durable Medical Equipment,85+,Total,1919,2434,2664,2839,2895,3511
Total,Durable Medical Equipment,Total,Males,11282,12469,14667,16088,17144,18902
Total,Durable Medical Equipment,0-18,Males,1198,1261,1505,1712,1777,2166
Total,Durable Medical Equipment,19-44,Males,2378,2584,2911,2989,3494,3674
Total,Durable Medical Equipment,45-64,Males,3557,4042,4899,5181,5742,5885
Total,Durable Medical Equipment,65-84,Males,3552,3831,4488,5227,5120,5865
Total,Durable Medical Equipment,85+,Males,598,752,864,979,1012,1312
Total,Durable Medical Equipment,Total,Females,15849,17901,19742,21590,22781,24777
Total,Durable Medical Equipment,0-18,Females,1272,1412,1619,1726,2029,2276
Total,Durable Medical Equipment,19-44,Females,3606,3857,3848,4472,4946,5134
Total,Durable Medical Equipment,45-64,Females,4950,5691,6719,7194,7580,8112
Total,Durable Medical Equipment,65-84,Females,4699,5259,5755,6339,6343,7056
Total,Durable Medical Equipment,85+,Females,1322,1682,1800,1860,1883,2199
Medicaid,Home Health Care,Total,Total,9702,13471,16905,21646,25926,27719
Medicaid,Home Health Care,0-18,Total,2109,2496,3416,4691,5672,6368
Medicaid,Home Health Care,19-44,Total,1885,2509,3050,4119,5471,6114
Medicaid,Home Health Care,45-64,Total,1877,2730,3320,4390,5478,5853
Medicaid,Home Health Care,65-84,Total,2486,3814,4650,5425,5827,5813
Medicaid,Home Health Care,85+,Total,1346,1922,2469,3021,3478,3570
Medicaid,Home Health Care,Total,Males,3517,4780,5951,7866,9842,10521
Medicaid,Home Health Care,0-18,Males,1141,1353,1829,2537,3094,3453
Medicaid,Home Health Care,19-44,Males,819,1076,1184,1571,2191,2334
Medicaid,Home Health Care,45-64,Males,735,1040,1258,1707,2244,2434
Medicaid,Home Health Care,65-84,Males,618,992,1251,1506,1667,1664
Medicaid,Home Health Care,85+,Males,205,319,429,546,646,637
Medicaid,Home Health Care,Total,Females,6185,8691,10953,13780,16084,17198
Medicaid,Home Health Care,0-18,Females,968,1143,1587,2154,2578,2916
Medicaid,Home Health Care,19-44,Females,1066,1434,1866,2548,3280,3780
Medicaid,Home Health Care,45-64,Females,1142,1689,2063,2683,3233,3419
Medicaid,Home Health Care,65-84,Females,1868,2822,3399,3919,4160,4149
Medicaid,Home Health Care,85+,Females,1141,1602,2040,2475,2832,2934
Medicare,Home Health Care,Total,Total,11338,15536,21060,27052,31701,33431
Medicare,Home Health Care,0-18,Total,0,0,0,0,0,1
Medicare,Home Health Care,19-44,Total,161,200,278,343,399,403
Medicare,Home Health Care,45-64,Total,798,1152,1726,2347,2879,3067
Medicare,Home Health Care,65-84,Total,7100,9308,12134,15148,17029,17593
Medicare,Home Health Care,85+,Total,3280,4876,6922,9214,11394,12367
Medicare,Home Health Care,Total,Males,4001,5412,7331,9529,11234,12104
Medicare,Home Health Care,0-18,Males,0,0,0,0,0,1
Medicare,Home Health Care,19-44,Males,90,108,147,177,202,201
Medicare,Home Health Care,45-64,Males,373,531,799,1078,1317,1431
Medicare,Home Health Care,65-84,Males,2651,3481,4542,5759,6555,6979
Medicare,Home Health Care,85+,Males,888,1291,1843,2515,3160,3493
Medicare,Home Health Care,Total,Females,7337,10124,13728,17523,20468,21326
Medicare,Home Health Care,0-18,Females,0,0,0,0,0,0
Medicare,Home Health Care,19-44,Females,71,92,131,166,197,202
Medicare,Home Health Care,45-64,Females,425,621,927,1269,1562,1636
Medicare,Home Health Care,65-84,Females,4449,5827,7592,9389,10475,10615
Medicare,Home Health Care,85+,Females,2391,3585,5078,6698,8234,8873
Other Payers and Programs,Home Health Care,Total,Total,2890,2996,2752,2674,2566,2938
Other Payers and Programs,Home Health Care,0-18,Total,161,125,100,128,148,191
Other Payers and Programs,Home Health Care,19-44,Total,319,333,289,289,290,344
Other Payers and Programs,Home Health Care,45-64,Total,915,1069,1018,916,738,825
Other Payers and Programs,Home Health Care,65-84,Total,975,933,675,663,556,646
Other Payers and Programs,Home Health Care,85+,Total,521,536,669,678,833,933
Other Payers and Programs,Home Health Care,Total,Males,1209,1181,1074,1030,990,1165
Other Payers and Programs,Home Health Care,0-18,Males,84,64,56,73,80,101
Other Payers and Programs,Home Health Care,19-44,Males,167,171,149,143,146,163
Other Payers and Programs,Home Health Care,45-64,Males,465,478,431,416,304,353
Other Payers and Programs,Home Health Care,65-84,Males,349,296,223,177,196,252
Other Payers and Programs,Home Health Care,85+,Males,144,171,216,221,265,296
Other Payers and Programs,Home Health Care,Total,Females,1681,1815,1678,1644,1576,1773
Other Payers and Programs,Home Health Care,0-18,Females,76,61,45,55,68,89
Other Payers and Programs,Home Health Care,19-44,Females,152,162,141,146,144,180
Other Payers and Programs,Home Health Care,45-64,Females,450,591,587,500,435,472
Other Payers and Programs,Home Health Care,65-84,Females,626,637,452,487,361,395
Other Payers and Programs,Home Health Care,85+,Females,377,364,453,457,568,637
Out-of-Pocket,Home Health Care,Total,Total,6003,6138,5806,5802,5771,6533
Out-of-Pocket,Home Health Care,0-18,Total,432,482,445,428,364,386
Out-of-Pocket,Home Health Care,19-44,Total,573,639,568,560,486,592
Out-of-Pocket,Home Health Care,45-64,Total,1011,1127,1110,1058,957,919
Out-of-Pocket,Home Health Care,65-84,Total,1994,1873,1773,1727,1783,2086
Out-of-Pocket,Home Health Care,85+,Total,1994,2016,1909,2028,2180,2550
Out-of-Pocket,Home Health Care,Total,Males,2472,2547,2525,2448,2346,2645
Out-of-Pocket,Home Health Care,0-18,Males,240,268,255,237,194,214
Out-of-Pocket,Home Health Care,19-44,Males,247,276,279,245,210,251
Out-of-Pocket,Home Health Care,45-64,Males,429,479,547,502,436,418
Out-of-Pocket,Home Health Care,65-84,Males,1037,974,922,901,911,1066
Out-of-Pocket,Home Health Care,85+,Males,518,550,521,563,594,695
Out-of-Pocket,Home Health Care,Total,Females,3532,3591,3281,3354,3425,3888
Out-of-Pocket,Home Health Care,0-18,Females,192,214,190,192,170,172
Out-of-Pocket,Home Health Care,19-44,Females,326,363,289,316,276,341
Out-of-Pocket,Home Health Care,45-64,Females,581,648,563,556,522,501
Out-of-Pocket,Home Health Care,65-84,Females,957,899,851,826,872,1020
Out-of-Pocket,Home Health Care,85+,Females,1475,1466,1388,1465,1585,1854
Private health Insurance,Home Health Care,Total,Total,6531,6500,5530,5145,5091,6253
Private health Insurance,Home Health Care,0-18,Total,817,834,694,601,558,700
Private health Insurance,Home Health Care,19-44,Total,1199,1225,1039,917,890,1154
Private health Insurance,Home Health Care,45-64,Total,2416,2469,2095,1848,1843,2126
Private health Insurance,Home Health Care,65-84,Total,1367,1240,884,922,837,1050
Private health Insurance,Home Health Care,85+,Total,733,732,817,857,963,1223
Private health Insurance,Home Health Care,Total,Males,2763,2764,2367,2149,2163,2750
Private health Insurance,Home Health Care,0-18,Males,479,490,402,343,323,414
Private health Insurance,Home Health Care,19-44,Males,584,597,507,447,426,580
Private health Insurance,Home Health Care,45-64,Males,1109,1133,961,848,839,985
Private health Insurance,Home Health Care,65-84,Males,378,325,248,236,261,355
Private health Insurance,Home Health Care,85+,Males,213,219,250,275,315,416
Private health Insurance,Home Health Care,Total,Females,3768,3736,3163,2997,2927,3503
Private health Insurance,Home Health Care,0-18,Females,337,345,292,258,235,286
Private health Insurance,Home Health Care,19-44,Females,614,628,533,470,464,574
Private health Insurance,Home Health Care,45-64,Females,1307,1336,1133,1000,1003,1141
Private health Insurance,Home Health Care,65-84,Females,990,915,637,686,576,695
Private health Insurance,Home Health Care,85+,Females,520,513,568,583,649,807
Total,Home Health Care,Total,Total,36464,44641,52052,62320,71055,76875
Total,Home Health Care,0-18,Total,3518,3937,4655,5849,6742,7646
Total,Home Health Care,19-44,Total,4136,4907,5225,6229,7536,8607
Total,Home Health Care,45-64,Total,7016,8546,9269,10559,11895,12791
Total,Home Health Care,65-84,Total,13921,17168,20116,23886,26033,27189
Total,Home Health Care,85+,Total,7872,10082,12787,15798,18848,20642
Total,Home Health Care,Total,Males,13962,16683,19249,23023,26575,29186
Total,Home Health Care,0-18,Males,1945,2175,2542,3190,3691,4183
Total,Home Health Care,19-44,Males,1907,2229,2266,2583,3175,3529
Total,Home Health Care,45-64,Males,3110,3661,3996,4551,5140,5621
Total,Home Health Care,65-84,Males,5032,6068,7186,8579,9590,10316
Total,Home Health Care,85+,Males,1968,2551,3259,4120,4980,5538
Total,Home Health Care,Total,Females,22502,27957,32803,39297,44480,47689
Total,Home Health Care,0-18,Females,1574,1763,2114,2658,3052,3463
Total,Home Health Care,19-44,Females,2229,2679,2959,3646,4362,5078
Total,Home Health Care,45-64,Females,3905,4885,5273,6008,6755,7170
Total,Home Health Care,65-84,Females,8889,11100,12930,15306,16443,16874
Total,Home Health Care,85+,Females,5904,7531,9527,11678,13869,15105
Medicaid,Hospital Care,Total,Total,84376,96750,108828,122673,141899,150098
Medicaid,Hospital Care,0-18,Total,27683,32064,38171,42626,47667,48977
Medicaid,Hospital Care,19-44,Total,26421,30380,33391,36857,43595,46212
Medicaid,Hospital Care,45-64,Total,17586,21162,24165,28126,33554,37074
Medicaid,Hospital Care,65-84,Total,8917,9214,9088,10508,11760,12393
Medicaid,Hospital Care,85+,Total,3768,3929,4012,4557,5322,5442
Medicaid,Hospital Care,Total,Males,34171,39449,44763,51074,59824,63866
Medicaid,Hospital Care,0-18,Males,14598,16931,20013,22557,25265,26053
Medicaid,Hospital Care,19-44,Males,7906,8932,9513,10707,13322,14541
Medicaid,Hospital Care,45-64,Males,7918,9694,11233,13136,15913,17631
Medicaid,Hospital Care,65-84,Males,3066,3185,3261,3809,4304,4563
Medicaid,Hospital Care,85+,Males,682,706,743,864,1019,1078
Medicaid,Hospital Care,Total,Females,50205,57301,64064,71599,82075,86232
Medicaid,Hospital Care,0-18,Females,13085,15134,18158,20069,22402,22924
Medicaid,Hospital Care,19-44,Females,18515,21448,23877,26149,30273,31671
Medicaid,Hospital Care,45-64,Females,9668,11468,12932,14989,17641,19443
Medicaid,Hospital Care,65-84,Females,5851,6029,5827,6699,7456,7830
Medicaid,Hospital Care,85+,Females,3086,3223,3270,3693,4303,4364
Medicare,Hospital Care,Total,Total,143531,162721,184674,205475,221033,238193
Medicare,Hospital Care,0-18,Total,52,58,76,84,84,90
Medicare,Hospital Care,19-44,Total,5667,6499,7512,8058,8907,9660
Medicare,Hospital Care,45-64,Total,16463,20551,25604,29823,34489,38522
Medicare,Hospital Care,65-84,Total,99757,111357,122658,134174,142033,151786
Medicare,Hospital Care,85+,Total,21593,24255,28825,33337,35519,38135
Medicare,Hospital Care,Total,Males,65432,74163,84562,94315,102024,110361
Medicare,Hospital Care,0-18,Males,26,29,39,43,46,49
Medicare,Hospital Care,19-44,Males,3144,3520,3983,4158,4518,4825
Medicare,Hospital Care,45-64,Males,8688,10710,13336,15360,17602,19702
Medicare,Hospital Care,65-84,Males,46403,51735,57287,62934,66998,71784
Medicare,Hospital Care,85+,Males,7172,8169,9917,11820,12859,13999
Medicare,Hospital Care,Total,Females,78099,88557,100112,111160,119009,127832
Medicare,Hospital Care,0-18,Females,26,29,36,41,38,41
Medicare,Hospital Care,19-44,Females,2523,2979,3530,3900,4389,4835
Medicare,Hospital Care,45-64,Females,7776,9842,12268,14463,16887,18819
Medicare,Hospital Care,65-84,Females,53354,59622,65370,71239,75036,80001
Medicare,Hospital Care,85+,Females,14421,16086,18908,21517,22660,24136
Other Payers and Programs,Hospital Care,Total,Total,74018,88009,101069,109858,128919,142548
Other Payers and Programs,Hospital Care,0-18,Total,11546,15186,16335,17523,20531,22083
Other Payers and Programs,Hospital Care,19-44,Total,23544,26698,30141,32549,35207,39391
Other Payers and Programs,Hospital Care,45-64,Total,24120,27854,34910,40157,49303,55001
Other Payers and Programs,Hospital Care,65-84,Total,12198,15344,16319,15913,19752,21689
Other Payers and Programs,Hospital Care,85+,Total,2610,2927,3364,3716,4126,4384
Other Payers and Programs,Hospital Care,Total,Males,39542,46170,52787,57432,68610,76120
Other Payers and Programs,Hospital Care,0-18,Males,6235,8057,8770,9258,10573,11486
Other Payers and Programs,Hospital Care,19-44,Males,10080,11184,12535,13463,14811,15686
Other Payers and Programs,Hospital Care,45-64,Males,14995,17047,20813,23768,29430,34303
Other Payers and Programs,Hospital Care,65-84,Males,7463,9036,9636,9700,12337,13027
Other Payers and Programs,Hospital Care,85+,Males,768,846,1032,1244,1458,1619
Other Payers and Programs,Hospital Care,Total,Females,34476,41839,48282,52426,60309,66428
Other Payers and Programs,Hospital Care,0-18,Females,5310,7129,7565,8265,9957,10598
Other Payers and Programs,Hospital Care,19-44,Females,13464,15514,17605,19087,20396,23706
Other Payers and Programs,Hospital Care,45-64,Females,9125,10807,14097,16389,19873,20698
