Code,Item,Group,Region_Number,Region_Name,State_Name,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,17,20,26,27,33,38,41,48,53,62,71,80,95,107,121,146,159,171,168,181,199,213,233,259,318,338,381,398,440,493,507,549,573,618,662,11.3
1,Medicare/Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,426,537,613,754,842,988,1103,1196,1324,1538,1696,1868,1994,2217,2457,2697,2933,3055,3012,3122,3346,3723,4096,4531,5146,5777,6803,7405,8030,8655,9141,9798,10300,10795,11300,10.1
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,331,409,460,547,577,660,717,788,822,946,1067,1213,1306,1377,1543,1694,1799,1904,1913,1900,2008,2274,2431,2613,2885,3169,3734,4052,4288,4513,4633,4867,5064,5193,5427,8.6
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,California,4189,5121,5834,6616,7317,8001,8697,9371,9942,11287,11882,13214,14807,16726,18503,19996,21556,22599,22650,23182,23836,25814,28040,29792,31707,34540,40225,42459,47544,50901,53202,56407,59425,62399,65054,8.4
1,Medicare/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,356,423,511,571,603,680,740,764,830,951,1062,1154,1326,1480,1683,1903,2062,2160,2125,2226,2298,2505,2770,2996,3341,3672,4275,4557,4909,5301,5613,5915,6325,6577,7115,9.2
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,513,605,699,796,893,928,967,1018,1159,1367,1524,1704,1918,2130,2376,2650,2836,2933,2875,2892,3088,3426,3650,3864,4266,4473,5194,5472,5839,6138,6248,6528,6681,7034,7375,8.2
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,111,113,129,154,172,192,205,225,241,278,319,340,326,356,397,426,474,495,522,526,568,648,706,773,894,944,1103,1215,1367,1435,1505,1601,1663,1780,1908,8.7
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,190,209,254,295,296,306,298,339,393,434,465,484,529,580,628,659,706,760,797,785,802,785,812,837,904,972,1049,1060,1128,1162,1188,1234,1282,1322,1345,5.9
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Florida,2299,2808,3437,3993,4467,4795,5172,5826,6315,7314,8191,8988,10623,11988,13772,15006,16141,16922,16575,16998,17897,19597,21031,22701,25101,27402,31619,33573,36658,39514,40877,42991,44886,46056,48039,9.4
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Georgia,647,781,931,1073,1213,1353,1496,1608,1777,2070,2307,2720,3206,3429,3803,4232,4507,4731,4511,4643,4837,5319,5782,6264,7057,7703,9437,10160,10941,11784,12415,13096,13925,14626,15373,9.8
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,Hawaii,99,115,142,167,185,199,223,251,267,327,340,365,412,456,509,567,595,628,621,660,725,825,881,925,993,1047,1221,1293,1438,1537,1624,1742,1846,1909,2037,9.3
1,Medicare/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,85,108,115,138,154,173,182,199,212,231,245,277,330,369,425,488,538,589,586,605,663,735,786,859,957,1071,1313,1407,1536,1675,1749,1890,2022,2129,2299,10.2
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,1971,2301,2613,2935,3292,3499,3653,3817,3787,4086,4588,5004,5655,6179,6936,7456,7909,8145,8090,8206,8617,9606,10243,10861,11926,12929,15241,16195,17383,18363,19045,19948,20464,20962,21617,7.3
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,649,822,933,1019,1278,1329,1429,1548,1662,1934,2120,2290,2739,3000,3308,3667,3881,4173,4144,4045,4257,4816,5098,5548,6150,6708,7870,8351,9108,9749,10154,10737,11167,11664,12186,9
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,Iowa,459,532,620,668,714,771,823,902,930,1009,1120,1154,1270,1348,1461,1572,1673,1766,1759,1809,1935,2173,2262,2385,2610,2897,3489,3685,3921,4088,4215,4420,4621,4803,5014,7.3
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,Kansas,387,461,530,589,628,656,690,739,777,871,974,1041,1165,1254,1379,1534,1623,1729,1688,1731,1835,2031,2174,2370,2567,2785,3330,3527,3733,3907,4091,4280,4445,4603,4841,7.7
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Kentucky,431,535,612,695,743,859,972,1090,1205,1382,1530,1683,1882,2059,2299,2499,2697,2895,2853,2881,3068,3510,3802,4047,4446,4909,5756,6183,6683,7036,7380,7784,8064,8346,8645,9.2
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Louisiana,512,605,732,868,992,1192,1299,1383,1491,1716,1971,2196,2502,2789,3293,3676,4032,4227,4107,4090,4044,4365,4634,4856,5515,5783,6512,6959,7467,7930,8298,8612,8788,8922,9179,8.9
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Maine,178,218,250,287,297,302,305,344,367,411,438,480,528,584,656,735,810,877,878,896,970,1077,1122,1213,1338,1460,1751,1910,2040,2176,2215,2362,2435,2554,2711,8.3
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,Maryland,561,660,785,893,1038,1115,1227,1404,1576,1840,1996,2138,2470,2687,2896,3024,3184,3365,3606,3811,4064,4557,4886,5290,5800,6303,7290,7691,8339,8676,8955,9704,10005,10490,10956,9.1
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Massachusetts,1139,1363,1562,1767,2016,2228,2260,2384,2475,2836,3139,3578,4086,4616,5047,5591,6031,6156,5940,6015,6216,6741,7091,7471,8081,8535,9843,10558,11240,11963,12425,12982,13630,13916,14572,7.8
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Michigan,1713,2048,2377,2673,2719,2895,2899,3143,3333,3883,4059,4266,4803,5213,5916,6626,7105,7415,7396,7512,7871,8905,9476,10070,11092,12114,14051,15084,16329,17278,17683,18432,19137,19770,20600,7.6
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,Minnesota,676,817,906,1022,1050,1109,1106,1206,1305,1581,1685,1779,1967,2061,2218,2453,2650,2773,2829,2889,3108,3530,3823,4069,4522,4984,5862,6210,6662,6991,7265,7591,7993,8430,9002,7.9
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Mississippi,294,347,414,479,546,591,633,706,781,876,984,1101,1288,1416,1617,1857,2109,2235,2078,2040,2148,2392,2578,2836,3200,3445,4095,4373,4707,4974,5183,5321,5492,5569,5790,9.2
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,Missouri,1013,1192,1410,1607,1800,1902,1984,2037,2078,2274,2570,2693,3126,3422,3815,4138,4313,4497,4477,4523,4717,5261,5565,5901,6430,6924,8102,8729,9289,9859,10188,10588,11094,11422,11949,7.5
1,Medicare/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Montana,92,109,129,149,165,172,204,219,234,267,276,308,352,394,426,460,475,506,503,522,561,639,659,713,789,861,1005,1084,1158,1204,1268,1318,1403,1490,1579,8.7
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,Nebraska,243,285,324,372,380,390,420,430,448,506,574,621,676,727,807,890,970,1052,1044,1103,1194,1333,1441,1533,1697,1849,2183,2299,2436,2559,2681,2780,2886,2999,3130,7.8
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,Nevada,135,167,210,217,249,279,304,325,374,441,492,528,600,714,824,913,1009,1108,1107,1209,1293,1461,1662,1838,2087,2276,2601,2789,3082,3361,3598,3883,4121,4401,4713,11
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,New Hampshire,114,141,162,181,182,209,234,253,260,293,326,376,437,480,547,610,668,718,724,717,796,891,943,1040,1125,1203,1435,1559,1693,1774,1836,2001,2096,2224,2344,9.3
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,New Jersey,1075,1275,1566,1854,2146,2320,2460,2726,2877,3120,3269,3671,4477,4869,5209,5654,5940,6453,6770,7174,7625,8728,9232,9207,9434,10244,12174,13289,14220,14899,15349,16057,16412,16976,17788,8.6
1,Medicare/Personal Health Care (Millions of Dollars),State,6,Southwest,New Mexico,129,164,193,230,251,279,312,335,354,411,440,467,513,557,643,730,802,841,841,866,897,1007,1121,1204,1332,1497,1808,1972,2155,2313,2423,2555,2684,2796,2926,9.6
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,New York,3365,3889,4407,4995,5695,5913,6441,6898,7497,8443,9109,9464,10554,11755,12968,14192,15195,16076,16299,16718,17525,18916,19975,20975,22771,24526,28077,30126,32292,34015,34929,36502,37636,38527,39952,7.5
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,North Carolina,644,784,927,1050,1187,1343,1310,1473,1713,2024,2255,2641,3000,3309,3762,4329,4724,5044,5117,5313,5614,6400,6976,7734,8662,9513,11426,12363,13242,14196,14913,15726,16437,17194,17759,10.2
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,North Dakota,107,130,158,184,195,202,214,230,242,261,282,291,339,369,400,437,439,456,450,468,485,535,583,619,685,729,842,840,914,928,965,1058,1117,1160,1227,7.4
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Ohio,1630,2015,2353,2580,2680,2975,3314,3725,3791,4230,4597,5155,5759,6185,6830,7509,7984,8423,8450,8499,8998,9955,10641,11470,12613,13680,15825,16839,18171,19320,19955,20969,21633,22563,23421,8.2
1,Medicare/Personal Health Care (Millions of Dollars),State,6,Southwest,Oklahoma,439,503,606,680,734,770,844,933,1010,1106,1204,1320,1489,1630,1959,2280,2519,2652,2525,2551,2585,2796,3029,3350,3709,3997,4797,5084,5368,5629,5914,6064,6201,6348,6631,8.3
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,Oregon,386,476,549,625,658,704,756,830,865,1021,1093,1175,1333,1427,1511,1651,1766,1864,1870,1974,2157,2496,2671,2889,3140,3318,3926,4250,4624,4962,5174,5468,5761,6047,6490,8.7
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,Pennsylvania,2734,3326,3937,4557,5213,5766,6133,6405,6726,7523,8243,8846,8603,9540,10209,11029,11759,12295,12211,12211,12802,13853,14629,15076,15884,17211,20105,21517,23008,24223,24836,25791,26399,27178,28345,7.1
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Rhode Island,182,215,235,246,305,336,354,363,377,435,467,527,598,654,711,779,884,959,930,907,933,1048,1074,1114,1210,1291,1524,1613,1733,1834,1901,1930,1976,2054,2169,7.6
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,South Carolina,299,370,450,494,571,632,693,729,801,912,1007,1138,1332,1513,1862,2030,2244,2427,2509,2632,2868,3283,3513,3776,4133,4565,5489,5934,6478,6937,7327,7711,8123,8530,9050,10.5
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,South Dakota,93,115,142,154,169,179,196,214,221,248,268,283,320,338,374,419,448,471,478,504,536,599,628,685,746,800,914,1009,1061,1121,1159,1256,1308,1377,1473,8.4
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Tennessee,702,850,1018,1174,1312,1459,1596,1668,1814,2114,2366,2625,3013,3385,3811,4200,4529,4700,4445,4438,4702,5250,5721,6149,6776,7399,9022,9546,10227,10914,11298,11793,12255,12534,13153,9
1,Medicare/Personal Health Care (Millions of Dollars),State,6,Southwest,Texas,1781,2027,2706,3117,3419,3500,3801,4258,4558,5247,5802,6285,7511,8530,10181,11847,13242,14380,13838,13345,13889,15313,16762,18342,20644,22994,27132,29157,31403,33881,35564,37405,39130,40567,42558,9.8
1,Medicare/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Utah,119,142,165,184,223,264,285,315,348,405,415,455,526,600,667,775,839,872,841,849,915,1049,1148,1266,1453,1586,1888,2048,2184,2368,2482,2639,2803,2967,3180,10.1
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Vermont,70,80,94,105,97,106,124,129,135,159,166,188,210,234,260,292,311,321,321,342,375,421,443,460,501,545,668,723,770,823,884,905,954,991,1041,8.3
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Virginia,626,734,877,1043,1130,1220,1303,1419,1582,1789,1968,2178,2471,2700,3055,3315,3566,3822,3780,3936,4193,4676,5042,5462,5930,6407,7567,8206,8881,9470,9895,10572,11155,11764,12427,9.2
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,Washington,520,603,725,836,990,1080,1131,1280,1392,1588,1740,1929,2192,2322,2533,2754,2929,3130,3118,3224,3478,3853,4197,4406,4927,5343,6259,6702,7282,7915,8202,8687,9317,9793,10289,9.2
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,West Virginia,268,341,401,451,511,550,581,615,652,750,813,904,1053,1085,1186,1287,1429,1497,1484,1491,1544,1724,1805,1919,2138,2245,2673,2922,3170,3294,3395,3541,3658,3784,3949,8.2
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Wisconsin,696,850,989,1062,1222,1258,1359,1436,1525,1762,1846,1940,2164,2304,2523,2757,2952,3133,3121,3158,3364,3781,4064,4427,4903,5314,6298,6803,7362,7802,8015,8418,8829,9179,9737,8.1
1,Medicare/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Wyoming,37,45,51,59,68,73,78,84,89,98,107,112,129,154,175,201,207,214,210,227,242,266,274,308,339,361,433,451,478,518,560,591,624,641,678,8.9
2,Medicare/Hospital Care (Millions of Dollars),United States,0,United States,,26278,31521,36662,40989,45415,48644,50822,53495,56337,62162,67403,73322,83068,91524,99879,108286,114540,119392,118145,121103,123371,135048,143531,150885,162721,176395,184675,193081,205470,214435,219751,228379,238391,246233,252754,6.9
2,Medicare/Hospital Care (Millions of Dollars),State,5,Southeast,Alabama,391,500,585,642,707,749,815,882,907,1000,1108,1236,1426,1585,1739,1889,1996,2058,1972,1998,2032,2207,2393,2529,2768,2954,3077,3160,3318,3361,3340,3430,3589,3710,3810,6.9
2,Medicare/Hospital Care (Millions of Dollars),State,8,Far West,Alaska,14,16,21,21,26,29,29,35,38,45,50,59,73,81,90,108,117,125,124,136,148,156,169,183,206,215,240,245,273,302,304,334,349,383,406,10.5
2,Medicare/Hospital Care (Millions of Dollars),State,6,Southwest,Arizona,294,386,426,531,588,672,722,771,849,938,1027,1133,1156,1267,1359,1464,1545,1575,1518,1572,1675,1846,2044,2251,2569,2908,3070,3310,3628,3892,4035,4239,4367,4530,4640,8.4
2,Medicare/Hospital Care (Millions of Dollars),State,5,Southeast,Arkansas,233,284,319,377,399,453,483,520,537,612,685,806,866,902,987,1071,1134,1197,1199,1200,1229,1386,1484,1573,1719,1877,1936,2077,2161,2226,2231,2338,2448,2474,2555,7.3
2,Medicare/Hospital Care (Millions of Dollars),State,8,Far West,California,2764,3410,3796,4196,4647,5038,5377,5599,5886,6456,6640,7548,8616,9687,10521,11047,11723,12291,12127,12379,12435,13373,14059,14905,15483,17057,18071,18974,21028,21707,22856,23915,25063,26140,26346,6.9
2,Medicare/Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,262,306,371,411,432,501,527,530,573,632,700,756,869,953,1041,1148,1200,1227,1195,1288,1254,1328,1477,1563,1730,1908,1999,2083,2202,2319,2460,2576,2736,2846,3016,7.5
2,Medicare/Hospital Care (Millions of Dollars),State,1,New England,Connecticut,372,438,499,561,621,643,651,660,743,844,942,1038,1155,1247,1331,1468,1535,1553,1546,1588,1636,1777,1880,1999,2206,2259,2389,2483,2622,2743,2707,2832,2935,3127,3229,6.6
2,Medicare/Hospital Care (Millions of Dollars),State,2,Mideast,Delaware,90,89,98,117,129,145,153,164,172,189,224,234,200,221,237,241,268,274,300,306,315,355,387,418,492,511,528,572,639,640,654,686,704,771,818,6.7
2,Medicare/Hospital Care (Millions of Dollars),State,2,Mideast,District of Columbia,138,152,187,221,219,228,210,244,297,317,329,342,379,419,451,463,497,531,586,574,586,557,575,594,652,706,716,714,753,755,762,784,816,833,833,5.4
2,Medicare/Hospital Care (Millions of Dollars),State,5,Southeast,Florida,1388,1718,2116,2428,2731,2894,3054,3169,3365,3698,4085,4497,5523,6245,6959,7600,8073,8444,8057,8164,8545,9373,9903,10303,11097,11846,12614,13384,14266,14958,15246,15605,16617,16870,17525,7.7
2,Medicare/Hospital Care (Millions of Dollars),State,5,Southeast,Georgia,459,554,654,743,829,921,1004,1055,1142,1297,1403,1691,1994,2058,2211,2532,2680,2811,2666,2749,2787,3022,3258,3465,3883,4202,4487,4677,4906,5251,5462,5585,5866,6131,6295,8
2,Medicare/Hospital Care (Millions of Dollars),State,8,Far West,Hawaii,66,79,97,114,127,140,153,166,165,206,210,230,261,287,316,352,364,393,373,394,418,470,486,509,553,579,597,594,662,674,711,772,806,802,839,7.8
2,Medicare/Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,63,79,84,99,109,123,125,138,145,150,159,181,220,240,264,290,319,344,350,370,388,421,444,485,534,606,653,672,718,774,800,886,954,1016,1085,8.8
2,Medicare/Hospital Care (Millions of Dollars),State,3,Great Lakes,Illinois,1538,1795,2006,2210,2494,2608,2654,2687,2575,2652,3068,3266,3717,4058,4475,4785,5067,5142,5053,5129,5214,5711,5984,6220,6724,7228,7637,7940,8402,8661,8731,9087,9379,9566,9676,5.6
2,Medicare/Hospital Care (Millions of Dollars),State,3,Great Lakes,Indiana,491,638,706,739,958,991,1054,1111,1143,1268,1399,1514,1830,1999,2125,2322,2388,2582,2580,2517,2557,2828,2918,3133,3444,3768,3929,4041,4360,4638,4676,4910,5194,5387,5541,7.4
2,Medicare/Hospital Care (Millions of Dollars),State,4,Plains,Iowa,376,432,500,525,550,589,612,665,674,722,805,808,894,949,1001,1051,1116,1177,1170,1207,1255,1397,1443,1495,1611,1830,1931,2007,2102,2151,2186,2294,2416,2522,2606,5.9
2,Medicare/Hospital Care (Millions of Dollars),State,4,Plains,Kansas,312,369,420,459,482,495,500,522,540,593,652,676,771,832,895,996,1039,1088,1084,1105,1138,1237,1321,1458,1557,1651,1691,1780,1889,1959,2039,2130,2220,2312,2406,6.2
2,Medicare/Hospital Care (Millions of Dollars),State,5,Southeast,Kentucky,316,396,455,532,536,630,686,741,803,899,982,1068,1196,1310,1461,1577,1713,1827,1805,1780,1852,2101,2261,2379,2589,2872,2997,3142,3403,3487,3571,3748,3899,3934,3983,7.7
2,Medicare/Hospital Care (Millions of Dollars),State,5,Southeast,Louisiana,388,456,551,667,764,860,893,913,990,1116,1266,1423,1624,1783,2027,2204,2332,2415,2419,2448,2355,2563,2734,2794,3118,3238,3223,3345,3517,3668,3824,3942,4038,4130,4183,7.2
2,Medicare/Hospital Care (Millions of Dollars),State,1,New England,Maine,137,170,195,220,225,226,225,242,257,283,291,316,338,368,400,433,471,507,520,544,577,644,669,725,794,876,928,1011,1056,1118,1119,1192,1228,1286,1329,6.9
2,Medicare/Hospital Care (Millions of Dollars),State,2,Mideast,Maryland,410,481,561,618,720,773,862,965,1070,1220,1305,1377,1634,1795,1857,1844,1876,1946,2164,2319,2416,2712,2930,3131,3429,3718,4060,4238,4577,4635,4687,5120,5235,5503,5616,8
2,Medicare/Hospital Care (Millions of Dollars),State,1,New England,Massachusetts,862,1036,1167,1302,1534,1651,1624,1651,1695,1939,2128,2408,2697,2971,3154,3423,3606,3645,3562,3621,3696,4005,4171,4414,4710,4914,5072,5314,5601,5952,6152,6409,6912,7046,7242,6.5
2,Medicare/Hospital Care (Millions of Dollars),State,3,Great Lakes,Michigan,1315,1547,1786,1992,1944,2027,1934,2044,2169,2472,2566,2640,3022,3285,3666,4093,4340,4458,4460,4586,4644,5237,5569,5796,6317,6891,7219,7442,7775,8171,8375,8569,8866,9095,9277,5.9
2,Medicare/Hospital Care (Millions of Dollars),State,4,Plains,Minnesota,514,629,706,778,781,822,807,868,925,1051,1150,1217,1350,1391,1447,1596,1701,1779,1841,1900,1944,2154,2343,2477,2729,3050,3165,3301,3508,3653,3842,4038,4258,4545,4815,6.8
2,Medicare/Hospital Care (Millions of Dollars),State,5,Southeast,Mississippi,206,244,287,322,366,394,412,451,496,550,595,676,798,855,953,1147,1303,1370,1271,1247,1278,1396,1459,1570,1765,1932,2000,2089,2256,2341,2425,2479,2595,2622,2700,7.9
2,Medicare/Hospital Care (Millions of Dollars),State,4,Plains,Missouri,784,924,1116,1229,1381,1443,1459,1454,1445,1538,1754,1808,2144,2373,2604,2768,2822,2940,2858,2935,2962,3224,3360,3490,3718,4038,4179,4389,4565,4811,4886,5022,5277,5428,5633,6
2,Medicare/Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Montana,68,81,96,112,119,123,148,154,163,182,190,210,241,274,291,303,305,325,326,344,361,405,417,448,496,553,571,608,649,660,694,729,780,848,887,7.8
2,Medicare/Hospital Care (Millions of Dollars),State,4,Plains,Nebraska,196,235,262,297,301,303,321,320,336,365,409,424,470,509,559,611,664,706,694,746,783,857,933,979,1066,1172,1216,1247,1306,1358,1422,1456,1524,1598,1644,6.5
2,Medicare/Hospital Care (Millions of Dollars),State,8,Far West,Nevada,103,130,157,156,178,196,200,207,227,251,276,291,334,403,462,512,556,607,590,631,648,731,848,925,1008,1112,1166,1235,1361,1507,1590,1694,1807,1885,2036,9.2
2,Medicare/Hospital Care (Millions of Dollars),State,1,New England,New Hampshire,86,108,120,135,131,155,168,179,182,202,222,258,296,317,361,396,428,447,454,445,490,541,566,634,672,720,794,857,928,950,964,1076,1136,1221,1273,8.2
2,Medicare/Hospital Care (Millions of Dollars),State,2,Mideast,New Jersey,711,841,1040,1250,1483,1602,1653,1852,1954,1942,1977,2247,2885,3149,3264,3428,3519,3777,3971,4292,4381,5050,5295,5111,4919,5311,5562,5982,6256,6305,6384,6479,6625,6756,7090,7
2,Medicare/Hospital Care (Millions of Dollars),State,6,Southwest,New Mexico,95,119,138,161,174,193,213,227,235,266,276,295,323,343,391,434,467,476,481,522,506,561,624,647,681,770,827,887,956,1007,1054,1083,1147,1195,1256,7.9
2,Medicare/Hospital Care (Millions of Dollars),State,2,Mideast,New York,2396,2738,3033,3375,3865,3945,4284,4631,5059,5702,6093,6162,6871,7731,8538,9266,9645,9911,9877,10277,10302,10882,11395,11843,12797,13845,14197,14893,15799,16379,16453,16732,17106,17270,17422,6
2,Medicare/Hospital Care (Millions of Dollars),State,5,Southeast,North Carolina,454,557,647,709,794,898,804,934,1099,1236,1352,1615,1899,2089,2319,2696,2915,3068,3125,3231,3265,3647,3917,4316,4842,5299,5528,5842,6140,6530,6732,7037,7367,7640,7755,8.7
2,Medicare/Hospital Care (Millions of Dollars),State,4,Plains,North Dakota,81,96,118,138,145,149,152,157,167,177,191,197,241,271,291,319,317,329,319,330,333,362,401,423,469,503,499,500,561,558,581,665,718,762,808,7
2,Medicare/Hospital Care (Millions of Dollars),State,3,Great Lakes,Ohio,1266,1573,1805,1934,1960,2218,2383,2611,2553,2765,3051,3379,3798,4090,4384,4734,4945,5088,5016,5084,5179,5647,5999,6392,6973,7570,7896,8110,8549,9038,9141,9461,9709,10080,10142,6.3
2,Medicare/Hospital Care (Millions of Dollars),State,6,Southwest,Oklahoma,329,373,458,510,551,581,611,651,704,748,807,887,1000,1064,1227,1348,1448,1491,1480,1526,1485,1582,1741,1930,2094,2224,2340,2411,2516,2565,2684,2786,2890,2971,3074,6.8
2,Medicare/Hospital Care (Millions of Dollars),State,8,Far West,Oregon,277,351,401,454,473,501,521,567,572,659,700,743,857,900,920,1003,1053,1111,1119,1193,1244,1424,1489,1606,1751,1844,1904,2016,2129,2213,2286,2410,2525,2692,2826,7.1
2,Medicare/Hospital Care (Millions of Dollars),State,2,Mideast,Pennsylvania,2139,2615,3059,3474,3911,4310,4515,4561,4737,5157,5723,6069,5533,6245,6584,6957,7309,7534,7403,7427,7610,8230,8711,8714,9023,9786,10072,10480,10937,11274,11425,11682,11834,12172,12410,5.3
