National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Health Consumption Expenditures,02/15/2017,Historical,Y1975,121106,37262,66330,30578,16336,13446,5970,17514
Health Consumption Expenditures,02/15/2017,Historical,Y1976,139293,40647,79068,37425,19694,15188,6761,19578
Health Consumption Expenditures,02/15/2017,Historical,Y1977,159946,44853,93115,45692,22891,17464,7068,21978
Health Consumption Expenditures,02/15/2017,Historical,Y1978,180046,48016,106582,52523,26668,19465,7927,25448
Health Consumption Expenditures,02/15/2017,Historical,Y1979,204567,52312,122739,60955,30922,22332,8531,29516
Health Consumption Expenditures,02/15/2017,Historical,Y1980,235475,58146,142333,69225,37387,26032,9689,34995
Health Consumption Expenditures,02/15/2017,Historical,Y1981,273418,65355,167730,81804,44769,30307,10849,40333
Health Consumption Expenditures,02/15/2017,Historical,Y1982,308038,72450,190651,94227,52351,32011,12063,44937
Health Consumption Expenditures,02/15/2017,Historical,Y1983,339453,78619,212741,105128,59559,35266,12789,48093
Health Consumption Expenditures,02/15/2017,Historical,Y1984,375119,86500,237405,119053,66207,38233,13912,51214
Health Consumption Expenditures,02/15/2017,Historical,Y1985,412836,95640,259273,131311,71829,40937,15196,57923
Health Consumption Expenditures,02/15/2017,Historical,Y1986,443712,103610,274699,136077,76829,45383,16409,65404
Health Consumption Expenditures,02/15/2017,Historical,Y1987,482287,109652,300035,149177,83081,50339,17438,72600
Health Consumption Expenditures,02/15/2017,Historical,Y1988,540513,120217,338282,175829,88965,55080,18408,82013
Health Consumption Expenditures,02/15/2017,Historical,Y1989,602254,126651,387271,204775,101137,61952,19407,88332
Health Consumption Expenditures,02/15/2017,Historical,Y1990,674070,137882,439113,233885,110182,73661,21385,97075
Health Consumption Expenditures,02/15/2017,Historical,Y1991,737681,140815,492308,255092,120617,93211,23389,104558
Health Consumption Expenditures,02/15/2017,Historical,Y1992,798746,143178,543122,274725,135996,108186,24215,112445
Health Consumption Expenditures,02/15/2017,Historical,Y1993,857725,144098,593278,295294,149965,122373,25645,120349
Health Consumption Expenditures,02/15/2017,Historical,Y1994,905669,142035,636747,308219,167670,134414,26444,126886
Health Consumption Expenditures,02/15/2017,Historical,Y1995,958174,144817,681482,325342,184393,144862,26885,131875
Health Consumption Expenditures,02/15/2017,Historical,Y1996,1009594,150354,722128,343691,198750,152170,27518,137112
Health Consumption Expenditures,02/15/2017,Historical,Y1997,1065112,161432,758575,359826,210376,160831,27541,145105
Health Consumption Expenditures,02/15/2017,Historical,Y1998,1126839,176906,792527,385185,209420,168988,28933,157406
Health Consumption Expenditures,02/15/2017,Historical,Y1999,1197540,187681,846086,417594,213173,183433,31886,163772
Health Consumption Expenditures,02/15/2017,Historical,Y2000,1286383,198966,919448,458493,224829,200322,35803,167969
Health Consumption Expenditures,02/15/2017,Historical,Y2001,1399391,206272,1014921,502498,247686,224061,40675,178199
Health Consumption Expenditures,02/15/2017,Historical,Y2002,1532426,219314,1122023,561495,265381,248014,47133,191088
Health Consumption Expenditures,02/15/2017,Historical,Y2003,1664436,235648,1222281,615693,282668,268873,55048,206507
Health Consumption Expenditures,02/15/2017,Historical,Y2004,1784922,248479,1320644,658832,311122,290664,60027,215798
Health Consumption Expenditures,02/15/2017,Historical,Y2005,1904502,263806,1414602,701724,339762,309249,63867,226094
Health Consumption Expenditures,02/15/2017,Historical,Y2006,2031359,273196,1517815,737559,403690,306576,69990,240348
Health Consumption Expenditures,02/15/2017,Historical,Y2007,2157256,289916,1609716,776628,432751,325755,74581,257624
Health Consumption Expenditures,02/15/2017,Historical,Y2008,2251055,294881,1696163,803020,466971,344229,81944,260011
Health Consumption Expenditures,02/15/2017,Historical,Y2009,2355705,293130,1796114,832551,498872,374432,90260,266461
Health Consumption Expenditures,02/15/2017,Historical,Y2010,2453664,298727,1875102,863064,519253,397230,95556,279835
Health Consumption Expenditures,02/15/2017,Historical,Y2011,2538441,308519,1948166,895098,546273,406742,100053,281756
Health Consumption Expenditures,02/15/2017,Historical,Y2012,2642201,317607,2019609,925133,569513,422732,102231,304985
Health Consumption Expenditures,02/15/2017,Historical,Y2013,2724539,325130,2086283,944901,590383,445403,105596,313126
Health Consumption Expenditures,02/15/2017,Historical,Y2014,2878382,329652,2228203,999990,618452,497154,112607,320527
Health Consumption Expenditures,02/15/2017,Historical,Y2015,3050825,338150,2384525,1072056,646243,545132,121094,328150
Health Consumption Expenditures,02/15/2017,Projected,Y2016,3200117,350399,2508547,1135391,678599,565536,129022,341170
Health Consumption Expenditures,02/15/2017,Projected,Y2017,3375400,365833,2651999,1208759,718688,586488,138064,357568
Health Consumption Expenditures,02/15/2017,Projected,Y2018,3574199,382710,2816518,1280433,767884,621769,146432,374971
Health Consumption Expenditures,02/15/2017,Projected,Y2019,3784898,401178,2990138,1351341,824902,658128,155767,393582
Health Consumption Expenditures,02/15/2017,Projected,Y2020,4006239,424294,3168779,1415975,890544,696690,165571,413167
Health Consumption Expenditures,02/15/2017,Projected,Y2021,4240750,446248,3360631,1488618,958788,737116,176110,433871
Health Consumption Expenditures,02/15/2017,Projected,Y2022,4488152,468672,3564480,1564938,1033237,779740,186564,455000
Health Consumption Expenditures,02/15/2017,Projected,Y2023,4748385,491957,3779592,1643909,1113920,824889,196874,476836
Health Consumption Expenditures,02/15/2017,Projected,Y2024,5018598,516613,4002451,1725936,1196080,873202,207232,499533
Health Consumption Expenditures,02/15/2017,Projected,Y2025,5299864,542316,4234062,1809094,1277834,929036,218098,523485
Personal Health Care,02/15/2017,Historical,Y1960,23263,12949,6634,4960,0,0,1674,3680
Personal Health Care,02/15/2017,Historical,Y1961,24755,13357,7293,5537,0,0,1756,4105
Personal Health Care,02/15/2017,Historical,Y1962,26665,14255,7967,6158,0,0,1809,4442
Personal Health Care,02/15/2017,Historical,Y1963,29076,15311,8828,6901,0,0,1927,4937
Personal Health Care,02/15/2017,Historical,Y1964,32039,16928,9806,7901,0,0,1906,5305
Personal Health Care,02/15/2017,Historical,Y1965,34720,18209,10655,8717,0,0,1937,5857
Personal Health Care,02/15/2017,Historical,Y1966,38426,18594,14046,8854,1722,1252,2218,5786
Personal Health Care,02/15/2017,Historical,Y1967,43500,18537,19388,9063,4731,3019,2575,5576
Personal Health Care,02/15/2017,Historical,Y1968,49128,20500,22277,10194,5931,3385,2768,6351
Personal Health Care,02/15/2017,Historical,Y1969,55510,22601,25683,12008,6735,3984,2957,7227
Personal Health Care,02/15/2017,Historical,Y1970,63059,24953,29650,14065,7276,5039,3270,8455
Personal Health Care,02/15/2017,Historical,Y1971,69437,26312,33986,15828,8036,6411,3711,9140
Personal Health Care,02/15/2017,Historical,Y1972,77162,28646,38795,17727,8851,7973,4244,9721
Personal Health Care,02/15/2017,Historical,Y1973,86152,31625,43827,19804,10182,9013,4829,10700
Personal Health Care,02/15/2017,Historical,Y1974,98784,34373,52109,23455,12748,10590,5316,12302
Personal Health Care,02/15/2017,Historical,Y1975,113217,37262,62097,27740,15610,12839,5907,13858
Personal Health Care,02/15/2017,Historical,Y1976,129312,40647,73055,33120,18815,14429,6691,15610
Personal Health Care,02/15/2017,Historical,Y1977,146674,44853,84590,38936,22136,16520,6998,17230
Personal Health Care,02/15/2017,Historical,Y1978,164236,48016,96526,44606,25666,18406,7848,19694
Personal Health Care,02/15/2017,Historical,Y1979,187128,52312,112238,52756,29900,21134,8449,22578
Personal Health Care,02/15/2017,Historical,Y1980,216977,58146,132100,61541,36260,24697,9602,26730
Personal Health Care,02/15/2017,Historical,Y1981,251789,65355,155573,72565,43457,28795,10756,30861
Personal Health Care,02/15/2017,Historical,Y1982,283073,72450,176377,82944,51060,30418,11955,34247
Personal Health Care,02/15/2017,Historical,Y1983,311677,78619,196099,91841,58116,33486,12656,36959
Personal Health Care,02/15/2017,Historical,Y1984,341645,86500,215287,100727,64599,36181,13780,39858
Personal Health Care,02/15/2017,Historical,Y1985,376376,95640,235725,112102,69795,38761,15067,45011
Personal Health Care,02/15/2017,Historical,Y1986,408840,103610,253956,119895,74769,43019,16274,51274
Personal Health Care,02/15/2017,Historical,Y1987,447696,109652,281361,135398,80951,47719,17292,56684
Personal Health Care,02/15/2017,Historical,Y1988,498497,120217,314143,157314,86404,52173,18252,64137
Personal Health Care,02/15/2017,Historical,Y1989,550414,126651,355504,179344,98277,58651,19232,68259
Personal Health Care,02/15/2017,Historical,Y1990,615326,137882,402936,204788,107266,69693,21188,74508
Personal Health Care,02/15/2017,Historical,Y1991,675896,140815,455028,225629,117273,88921,23205,80052
Personal Health Care,02/15/2017,Historical,Y1992,731455,143178,503335,243563,132368,103417,23987,84941
Personal Health Care,02/15/2017,Historical,Y1993,778684,144098,545446,257360,146235,116453,25398,89140
Personal Health Care,02/15/2017,Historical,Y1994,820172,142035,586202,269745,163430,126856,26170,91936
Personal Health Care,02/15/2017,Historical,Y1995,869578,144817,629442,286726,179858,136250,26607,95320
Personal Health Care,02/15/2017,Historical,Y1996,917540,150354,668168,302846,193573,144510,27239,99017
Personal Health Care,02/15/2017,Historical,Y1997,969531,161432,703031,320254,204204,151334,27239,105068
Personal Health Care,02/15/2017,Historical,Y1998,1026103,176906,734213,344824,202559,158293,28537,114984
Personal Health Care,02/15/2017,Historical,Y1999,1086280,187681,780209,371661,206035,171259,31255,118390
Personal Health Care,02/15/2017,Historical,Y2000,1162035,198966,844196,406087,216333,186920,34856,118874
Personal Health Care,02/15/2017,Historical,Y2001,1261944,206272,932205,445321,239111,208405,39369,123467
Personal Health Care,02/15/2017,Historical,Y2002,1367628,219314,1019982,488146,256551,230060,45226,128332
Personal Health Care,02/15/2017,Historical,Y2003,1477697,235648,1103253,527140,274001,249418,52695,138795
Personal Health Care,02/15/2017,Historical,Y2004,1587994,248479,1193089,565066,300096,270729,57198,146426
Personal Health Care,02/15/2017,Historical,Y2005,1696222,263806,1279211,604865,326278,287552,60518,153204
Personal Health Care,02/15/2017,Historical,Y2006,1804672,273196,1368081,636230,382297,283306,66248,163395
Personal Health Care,02/15/2017,Historical,Y2007,1918820,289916,1452128,671795,408710,301114,70508,176776
Personal Health Care,02/15/2017,Historical,Y2008,2010690,294881,1538597,700983,442014,317858,77742,177212
Personal Health Care,02/15/2017,Historical,Y2009,2114221,293130,1636657,734424,470329,346200,85704,184434
Personal Health Care,02/15/2017,Historical,Y2010,2194625,298727,1699295,754768,488535,365756,90235,196603
Personal Health Care,02/15/2017,Historical,Y2011,2272582,308519,1766100,784092,513520,373888,94601,197962
Personal Health Care,02/15/2017,Historical,Y2012,2365948,317607,1833118,812489,535105,388450,97073,215223
Personal Health Care,02/15/2017,Historical,Y2013,2435624,325130,1891021,829293,555120,406423,100185,219473
Personal Health Care,02/15/2017,Historical,Y2014,2562824,329652,2009446,875154,580583,446703,107006,223726
Personal Health Care,02/15/2017,Historical,Y2015,2717230,338150,2151242,944686,605024,486457,115076,227838
Personal Health Care,02/15/2017,Projected,Y2016,2856264,350399,2267265,1003107,633998,507231,122927,238601
Personal Health Care,02/15/2017,Projected,Y2017,3008109,365833,2391266,1060272,670405,529451,131138,251011
Personal Health Care,02/15/2017,Projected,Y2018,3178725,382710,2532130,1122207,715967,555032,138924,263885
Personal Health Care,02/15/2017,Projected,Y2019,3365907,401178,2687152,1184390,768552,586587,147623,277577
Personal Health Care,02/15/2017,Projected,Y2020,3563686,424294,2847356,1240609,829864,620123,156760,292036
Personal Health Care,02/15/2017,Projected,Y2021,3773117,446248,3019444,1304340,893258,655303,166542,307425
Personal Health Care,02/15/2017,Projected,Y2022,3993619,468672,3201836,1371054,962238,692365,176179,323112
Personal Health Care,02/15/2017,Projected,Y2023,4225545,491957,3394221,1440075,1036947,731594,185605,339368
Personal Health Care,02/15/2017,Projected,Y2024,4466304,516613,3593308,1511774,1112952,773586,194996,356383
Personal Health Care,02/15/2017,Projected,Y2025,4716626,542316,3800244,1584447,1188540,822452,204804,374066
Hospital Expenditures,02/15/2017,Historical,Y1960,8985,1852,4559,3195,0,0,1364,2574
Hospital Expenditures,02/15/2017,Historical,Y1961,9777,1895,5075,3664,0,0,1412,2807
Hospital Expenditures,02/15/2017,Historical,Y1962,10432,1950,5515,4102,0,0,1412,2967
Hospital Expenditures,02/15/2017,Historical,Y1963,11507,2206,6012,4540,0,0,1473,3290
Hospital Expenditures,02/15/2017,Historical,Y1964,12501,2501,6554,5077,0,0,1477,3445
Hospital Expenditures,02/15/2017,Historical,Y1965,13545,2684,7136,5599,0,0,1537,3725
Hospital Expenditures,02/15/2017,Historical,Y1966,15298,2303,9285,5585,1255,726,1718,3710
Hospital Expenditures,02/15/2017,Historical,Y1967,17798,1809,12451,5607,3225,1624,1995,3538
Hospital Expenditures,02/15/2017,Historical,Y1968,20537,2158,14330,6350,4108,1703,2169,4050
Hospital Expenditures,02/15/2017,Historical,Y1969,23367,2153,16638,7472,4811,2031,2324,4576
Hospital Expenditures,02/15/2017,Historical,Y1970,27168,2448,19422,8818,5359,2647,2599,5299
Hospital Expenditures,02/15/2017,Historical,Y1971,30224,2453,22027,9857,5920,3316,2934,5743
Hospital Expenditures,02/15/2017,Historical,Y1972,33846,2970,24500,10885,6537,3738,3340,6376
Hospital Expenditures,02/15/2017,Historical,Y1973,37920,3591,27396,12021,7537,3990,3847,6934
Hospital Expenditures,02/15/2017,Historical,Y1974,44139,3997,32239,14372,9388,4226,4253,7904
Hospital Expenditures,02/15/2017,Historical,Y1975,51234,4308,38273,17015,11502,5014,4743,8652
Hospital Expenditures,02/15/2017,Historical,Y1976,59402,4523,45206,20158,13902,5766,5380,9674
Hospital Expenditures,02/15/2017,Historical,Y1977,67023,4853,51805,23373,16187,6602,5643,10366
Hospital Expenditures,02/15/2017,Historical,Y1978,75621,5009,59013,26903,18639,7008,6463,11599
Hospital Expenditures,02/15/2017,Historical,Y1979,86162,5187,68005,31636,21647,7774,6948,12970
Hospital Expenditures,02/15/2017,Historical,Y1980,100517,5381,80096,36786,26278,9214,7817,15041
Hospital Expenditures,02/15/2017,Historical,Y1981,117480,6271,93909,42615,31521,11062,8711,17300
Hospital Expenditures,02/15/2017,Historical,Y1982,133647,7210,107385,49297,36662,11782,9644,19052
Hospital Expenditures,02/15/2017,Historical,Y1983,144745,7624,117395,53282,40989,12947,10177,19725
Hospital Expenditures,02/15/2017,Historical,Y1984,154366,8093,126238,55775,45415,13961,11086,20035
Hospital Expenditures,02/15/2017,Historical,Y1985,164575,8769,133956,58671,48644,14624,12017,21850
Hospital Expenditures,02/15/2017,Historical,Y1986,175629,8472,142011,62371,50822,15963,12855,25147
Hospital Expenditures,02/15/2017,Historical,Y1987,189545,8974,153117,68241,53495,17773,13608,27455
Hospital Expenditures,02/15/2017,Historical,Y1988,206455,9777,166299,76106,56337,19712,14144,30379
Hospital Expenditures,02/15/2017,Historical,Y1989,225968,10300,185040,85704,62162,22269,14905,30629
Hospital Expenditures,02/15/2017,Historical,Y1990,250439,11163,206906,96513,67403,26663,16327,32370
Hospital Expenditures,02/15/2017,Historical,Y1991,275768,11870,229771,102106,73322,36545,17798,34128
Hospital Expenditures,02/15/2017,Historical,Y1992,298477,12306,251092,105651,83068,43940,18433,35080
Hospital Expenditures,02/15/2017,Historical,Y1993,315749,12120,267528,107012,91524,49458,19534,36101
Hospital Expenditures,02/15/2017,Historical,Y1994,328366,10653,280485,106951,99879,53671,19984,37228
Hospital Expenditures,02/15/2017,Historical,Y1995,339313,10101,292427,107197,108286,56800,20143,36784
Hospital Expenditures,02/15/2017,Historical,Y1996,350799,10252,302975,109407,114540,58871,20157,37572
Hospital Expenditures,02/15/2017,Historical,Y1997,363404,11018,312599,113800,119392,59597,19811,39787
Hospital Expenditures,02/15/2017,Historical,Y1998,374917,11961,320575,120420,118145,61674,20336,42381
Hospital Expenditures,02/15/2017,Historical,Y1999,393624,12712,337658,128516,121103,66778,21260,43254
Hospital Expenditures,02/15/2017,Historical,Y2000,415531,13445,358203,141064,123371,70906,22862,43883
Hospital Expenditures,02/15/2017,Historical,Y2001,449358,13789,390730,153417,135048,77323,24942,44839
Hospital Expenditures,02/15/2017,Historical,Y2002,486479,15316,424415,169238,143531,84376,27270,46749
Hospital Expenditures,02/15/2017,Historical,Y2003,525905,17022,456745,184336,150885,90225,31300,52138
Hospital Expenditures,02/15/2017,Historical,Y2004,565378,18315,492662,199583,162721,96750,33609,54400
Hospital Expenditures,02/15/2017,Historical,Y2005,608553,19702,531574,215889,176395,103754,35536,57277
Hospital Expenditures,02/15/2017,Historical,Y2006,651220,21088,566906,235561,184675,108828,37843,63226
Hospital Expenditures,02/15/2017,Historical,Y2007,691973,22783,599908,250497,193081,117188,39142,69282
Hospital Expenditures,02/15/2017,Historical,Y2008,725711,23613,636330,264790,205470,122673,43397,65768
Hospital Expenditures,02/15/2017,Historical,Y2009,779689,25680,681770,285663,214435,133437,48235,72240
Hospital Expenditures,02/15/2017,Historical,Y2010,822405,27825,714117,301135,219751,141756,51475,80464
Hospital Expenditures,02/15/2017,Historical,Y2011,852020,29211,741505,315736,228379,143861,53528,81304
Hospital Expenditures,02/15/2017,Historical,Y2012,902676,31820,780265,337562,238391,149807,54505,90591
Hospital Expenditures,02/15/2017,Historical,Y2013,937877,33929,808555,349964,246233,155712,56645,95393
Hospital Expenditures,02/15/2017,Historical,Y2014,980966,33078,851878,369804,252754,169103,60217,96010
Hospital Expenditures,02/15/2017,Historical,Y2015,1036110,32128,909099,403622,256998,185135,63344,94883
Hospital Expenditures,02/15/2017,Projected,Y2016,1086783,32386,956928,427552,267759,193473,68142,97469
Hospital Expenditures,02/15/2017,Projected,Y2017,1140771,33418,1006011,451571,281005,201541,71894,101342
Hospital Expenditures,02/15/2017,Projected,Y2018,1199924,34906,1059462,476146,297196,209612,76508,105556
Hospital Expenditures,02/15/2017,Projected,Y2019,1269067,36677,1122140,502111,318091,220296,81642,110251
Hospital Expenditures,02/15/2017,Projected,Y2020,1343065,38684,1189120,527185,343378,231604,86954,115262
Hospital Expenditures,02/15/2017,Projected,Y2021,1421720,40722,1260381,554737,369651,243520,92474,120617
Hospital Expenditures,02/15/2017,Projected,Y2022,1504448,42771,1335684,583690,397935,256098,97962,125994
Hospital Expenditures,02/15/2017,Projected,Y2023,1591327,44939,1414928,613800,428282,269438,103407,131460
Hospital Expenditures,02/15/2017,Projected,Y2024,1681160,47252,1496737,645148,458669,283996,108923,137171
Hospital Expenditures,02/15/2017,Projected,Y2025,1776031,49645,1583332,677114,487799,303679,114740,143053
Physician and Clinical Expenditures,02/15/2017,Historical,Y1960,5551,3305,1837,1593,0,0,244,409
